Date,Price
20/3/2018,3.96
21/3/2018,3.964
22/3/2018,3.957
23/3/2018,3.951
25/3/2018,3.951
26/3/2018,3.948
27/3/2018,3.954
28/3/2018,3.949
29/3/2018,3.953
30/3/2018,3.953
1/4/2018,3.953
2/4/2018,3.953
3/4/2018,3.955
4/4/2018,3.954
5/4/2018,3.957
6/4/2018,3.961
8/4/2018,3.961
9/4/2018,3.962
10/4/2018,3.965
11/4/2018,3.967
12/4/2018,3.984
13/4/2018,4.003
15/4/2018,4.003
16/4/2018,4.004
17/4/2018,4.008
18/4/2018,4.012
19/4/2018,4.037
20/4/2018,4.058
22/4/2018,4.058
23/4/2018,4.138
24/4/2018,4.189
25/4/2018,4.192
26/4/2018,4.205
27/4/2018,4.181
29/4/2018,4.181
30/4/2018,4.16
1/5/2018,4.16
2/5/2018,4.161
3/5/2018,4.154
4/5/2018,4.142
6/5/2018,4.142
7/5/2018,4.133
8/5/2018,4.137
10/5/2018,4.123
14/5/2018,4.161
15/5/2018,4.158
16/5/2018,4.195
17/5/2018,4.213
18/5/2018,4.208
20/5/2018,4.182
21/5/2018,4.214
22/5/2018,4.214
23/5/2018,4.218
24/5/2018,4.241
25/5/2018,4.24
27/5/2018,4.261
28/5/2018,4.252
29/5/2018,4.261
30/5/2018,4.265
31/5/2018,4.206
1/6/2018,4.194
3/6/2018,4.192
4/6/2018,4.195
5/6/2018,4.195
6/6/2018,4.198
7/6/2018,4.201
8/6/2018,4.217
10/6/2018,4.234
11/6/2018,4.224
12/6/2018,4.231
13/6/2018,4.231
14/6/2018,4.225
17/6/2018,4.219
18/6/2018,4.223
19/6/2018,4.217
20/6/2018,4.227
21/6/2018,4.226
22/6/2018,4.226
24/6/2018,4.222
25/6/2018,4.224
26/6/2018,4.218
27/6/2018,4.219
28/6/2018,4.21
29/6/2018,4.213
2/7/2018,4.214
3/7/2018,4.212
4/7/2018,4.207
5/7/2018,4.173
6/7/2018,4.165
8/7/2018,4.11
9/7/2018,4.13
10/7/2018,4.095
11/7/2018,4.098
12/7/2018,4.099
13/7/2018,4.1
15/7/2018,4.101
16/7/2018,4.111
17/7/2018,4.123
18/7/2018,4.111
19/7/2018,4.103
20/7/2018,4.083
22/7/2018,4.067
23/7/2018,4.087
24/7/2018,4.098
25/7/2018,4.089
26/7/2018,4.083
27/7/2018,4.086
29/7/2018,4.083
30/7/2018,4.09
31/7/2018,4.083
1/8/2018,4.059
2/8/2018,4.039
3/8/2018,4.035
5/8/2018,4.042
6/8/2018,4.035
7/8/2018,4.034
8/8/2018,4.045
9/8/2018,4.049
10/8/2018,4.049
12/8/2018,4.043
13/8/2018,4.056
14/8/2018,4.063
15/8/2018,4.067
16/8/2018,4.067
17/8/2018,4.059
19/8/2018,4.048
20/8/2018,4.055
21/8/2018,4.04
22/8/2018,4.04
23/8/2018,4.036
24/8/2018,4.037
26/8/2018,4.03
27/8/2018,4.035
28/8/2018,4.035
29/8/2018,4.038
30/8/2018,4.041
2/9/2018,4.044
3/9/2018,4.05
4/9/2018,4.081
5/9/2018,4.143
6/9/2018,4.162
7/9/2018,4.154
11/9/2018,4.141
12/9/2018,4.169
13/9/2018,4.127
14/9/2018,4.113
17/9/2018,4.113
18/9/2018,4.118
19/9/2018,4.12
20/9/2018,4.107
21/9/2018,4.092
23/9/2018,4.084
24/9/2018,4.097
25/9/2018,4.108
26/9/2018,4.11
27/9/2018,4.096
28/9/2018,4.082
30/9/2018,4.072
1/10/2018,4.081
2/10/2018,4.084
3/10/2018,4.079
4/10/2018,4.125
5/10/2018,4.121
7/10/2018,4.108
8/10/2018,4.122
9/10/2018,4.122
10/10/2018,4.122
11/10/2018,4.129
12/10/2018,4.128
14/10/2018,4.131
15/10/2018,4.133
16/10/2018,4.131
17/10/2018,4.129
18/10/2018,4.129
19/10/2018,4.15
21/10/2018,4.151
22/10/2018,4.163
23/10/2018,4.164
24/10/2018,4.16
25/10/2018,4.167
26/10/2018,4.172
28/10/2018,4.185
29/10/2018,4.183
30/10/2018,4.182
31/10/2018,4.129
1/11/2018,4.102
2/11/2018,4.106
4/11/2018,4.127
5/11/2018,4.122
6/11/2018,4.139
7/11/2018,4.151
8/11/2018,4.126
9/11/2018,4.113
11/11/2018,4.108
12/11/2018,4.127
13/11/2018,4.157
14/11/2018,4.16
15/11/2018,4.161
16/11/2018,4.157
18/11/2018,4.144
19/11/2018,4.16
20/11/2018,4.163
21/11/2018,4.166
22/11/2018,4.163
23/11/2018,4.167
25/11/2018,4.162
26/11/2018,4.168
27/11/2018,4.168
28/11/2018,4.168
29/11/2018,4.154
30/11/2018,4.152
2/12/2018,4.13
3/12/2018,4.113
4/12/2018,4.093
5/12/2018,4.084
6/12/2018,4.083
7/12/2018,4.085
9/12/2018,4.086
10/12/2018,4.086
11/12/2018,4.092
12/12/2018,4.099
13/12/2018,4.099
14/12/2018,4.099
16/12/2018,4.099
17/12/2018,4.104
18/12/2018,4.102
19/12/2018,4.092
20/12/2018,4.097
21/12/2018,4.099
23/12/2018,4.094
24/12/2018,4.1
25/12/2018,4.102
26/12/2018,4.099
27/12/2018,4.101
28/12/2018,4.103
30/12/2018,4.101
31/12/2018,4.095
1/1/2019,4.093
2/1/2019,4.073
3/1/2019,4.077
4/1/2019,4.082
6/1/2019,4.081
7/1/2019,4.081
8/1/2019,4.077
9/1/2019,4.081
10/1/2019,4.077
11/1/2019,4.07
12/1/2019,4.076
13/1/2019,4.068
14/1/2019,4.072
15/1/2019,4.068
16/1/2019,4.069
17/1/2019,4.068
18/1/2019,4.069
21/1/2019,4.065
22/1/2019,4.067
23/1/2019,4.074
24/1/2019,4.079
25/1/2019,4.082
27/1/2019,4.088
28/1/2019,4.083
29/1/2019,4.08
30/1/2019,4.08
31/1/2019,4.076
4/2/2019,4.076
6/2/2019,4.037
7/2/2019,4.047
8/2/2019,4.025
10/2/2019,3.995
11/2/2019,3.987
12/2/2019,3.991
13/2/2019,3.982
14/2/2019,3.967
15/2/2019,3.886
17/2/2019,3.885
18/2/2019,3.895
19/2/2019,3.895
20/2/2019,3.891
21/2/2019,3.897
22/2/2019,3.895
24/2/2019,3.897
25/2/2019,3.893
26/2/2019,3.898
27/2/2019,3.9
28/2/2019,3.898
1/3/2019,3.905
3/3/2019,3.904
4/3/2019,3.909
5/3/2019,3.897
6/3/2019,3.884
7/3/2019,3.884
8/3/2019,3.867
10/3/2019,3.865
11/3/2019,3.868
12/3/2019,3.868
